seq_id,seq_id2,locus_tag,locus_tag2,identity,similarity
CP107903.region001,CP108059.region001,PRJNA747871_OHN74_00705,PRJNA747871_OG960_00115,0.99,0.99
CP107903.region001,CP108059.region001,PRJNA747871_OHN74_00710,PRJNA747871_OG960_00120,0.95,0.97
CP107903.region001,CP108059.region001,PRJNA747871_OHN74_00715,PRJNA747871_OG960_00125,0.98,0.99
CP107903.region001,CP108059.region001,PRJNA747871_OHN74_00720,PRJNA747871_OG960_00130,0.99,0.99
CP107903.region001,CP108059.region001,PRJNA747871_OHN74_00725,PRJNA747871_OG960_00135,0.99,0.99
CP107903.region001,CP108059.region001,PRJNA747871_OHN74_00730,PRJNA747871_OG960_00140,0.99,0.99
CP107903.region001,CP108059.region001,PRJNA747871_OHN74_00735,PRJNA747871_OG960_00145,0.99,0.99
CP107903.region001,CP108059.region001,PRJNA747871_OHN74_00740,PRJNA747871_OG960_00150,0.99,0.99
CP107903.region001,CP108059.region001,PRJNA747871_OHN74_00745,PRJNA747871_OG960_00155,0.99,0.99
CP107903.region001,CP108059.region001,PRJNA747871_OHN74_00750,PRJNA747871_OG960_00160,0.99,0.99
CP107903.region001,CP108059.region001,PRJNA747871_OHN74_00755,PRJNA747871_OG960_00165,1.0,1.00
CP107903.region001,CP108059.region001,PRJNA747871_OHN74_00760,PRJNA747871_OG960_00170,1.0,1.00
CP107903.region001,CP108059.region001,PRJNA747871_OHN74_00765,PRJNA747871_OG960_00175,1.0,1.00
CP107903.region001,CP108059.region001,PRJNA747871_OHN74_00775,PRJNA747871_OG960_00185,0.97,0.99
CP107903.region001,CP108059.region001,PRJNA747871_OHN74_00780,PRJNA747871_OG960_00190,0.97,0.99
CP107903.region001,CP108059.region001,PRJNA747871_OHN74_00785,PRJNA747871_OG960_00195,0.95,0.95
CP107903.region001,CP108059.region001,PRJNA747871_OHN74_00790,PRJNA747871_OG960_00200,0.99,0.99
CP107903.region001,CP108059.region001,PRJNA747871_OHN74_00795,PRJNA747871_OG960_00205,0.96,0.96
CP107903.region001,CP108059.region001,PRJNA747871_OHN74_00800,PRJNA747871_OG960_00210,0.98,0.99
CP107903.region001,CP108059.region001,PRJNA747871_OHN74_00805,PRJNA747871_OG960_00215,1.0,1.00
CP107903.region001,CP108059.region001,PRJNA747871_OHN74_00810,PRJNA747871_OG960_00220,0.88,0.88
CP107903.region001,CP108059.region001,PRJNA747871_OHN74_00815,PRJNA747871_OG960_00225,1.0,1.00
CP107903.region001,CP108059.region001,PRJNA747871_OHN74_00820,PRJNA747871_OG960_00230,0.99,1.00
CP107903.region001,CP108059.region001,PRJNA747871_OHN74_00825,PRJNA747871_OG960_00235,0.97,0.98
CP107903.region001,CP108059.region001,PRJNA747871_OHN74_00830,PRJNA747871_OG960_00240,1.0,1.00
